State,Sex,Age Group,Year,Ethnic Group,Value ('000 Person)
W.P Kuala Lumpur,Total Sex,Total Age Group,1985,Chinese,539
W.P Kuala Lumpur,Total Sex,Total Age Group,1985,Indians,141
W.P Kuala Lumpur,Total Sex,Total Age Group,1985,Others,13.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1986,Total Ethnic Group,1120.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1986,Bumiputera,421.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1986,Chinese,544.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1986,Indians,141
W.P Kuala Lumpur,Total Sex,Total Age Group,1986,Others,13.7
W.P Kuala Lumpur,Total Sex,Total Age Group,1987,Total Ethnic Group,1144.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1987,Bumiputera,441.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1987,Chinese,548.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1987,Indians,141
W.P Kuala Lumpur,Total Sex,Total Age Group,1987,Others,14.3
W.P Kuala Lumpur,Total Sex,Total Age Group,1988,Total Ethnic Group,1169.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1988,Bumiputera,461.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1988,Chinese,552.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1988,Indians,141
W.P Kuala Lumpur,Total Sex,Total Age Group,1988,Others,14.9
W.P Kuala Lumpur,Total Sex,Total Age Group,1989,Total Ethnic Group,1194.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1989,Bumiputera,480.2
W.P Kuala Lumpur,Total Sex,Total Age Group,1989,Chinese,557.4
W.P Kuala Lumpur,Total Sex,Total Age Group,1989,Indians,141
W.P Kuala Lumpur,Total Sex,Total Age Group,1989,Others,15.5
W.P Kuala Lumpur,Total Sex,Total Age Group,1990,Total Ethnic Group,1217.8
W.P Kuala Lumpur,Total Sex,Total Age Group,1990,Bumiputera,499.6
W.P Kuala Lumpur,Total Sex,Total Age Group,1990,Chinese,561.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1990,Indians,141.1
W.P Kuala Lumpur,Total Sex,Total Age Group,1990,Others,16
W.P Kuala Lumpur,Total Sex, 0 - 4,1980,Total Ethnic Group,121
W.P Kuala Lumpur,Total Sex, 0 - 4,1980,Bumiputera,46.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1980,Chinese,58
W.P Kuala Lumpur,Total Sex, 0 - 4,1980,Indians,16
W.P Kuala Lumpur,Total Sex, 0 - 4,1980,Others,0.9
W.P Kuala Lumpur,Total Sex, 0 - 4,1981,Total Ethnic Group,123.6
W.P Kuala Lumpur,Total Sex, 0 - 4,1981,Bumiputera,47.8
W.P Kuala Lumpur,Total Sex, 0 - 4,1981,Chinese,58.8
W.P Kuala Lumpur,Total Sex, 0 - 4,1981,Indians,15.9
W.P Kuala Lumpur,Total Sex, 0 - 4,1981,Others,1.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1982,Total Ethnic Group,125.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1982,Bumiputera,50.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1982,Chinese,58.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1982,Indians,15.6
W.P Kuala Lumpur,Total Sex, 0 - 4,1982,Others,1.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1983,Total Ethnic Group,128.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1983,Bumiputera,53.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1983,Chinese,58.4
W.P Kuala Lumpur,Total Sex, 0 - 4,1983,Indians,15.4
W.P Kuala Lumpur,Total Sex, 0 - 4,1983,Others,1.3
W.P Kuala Lumpur,Total Sex, 0 - 4,1984,Total Ethnic Group,129.6
W.P Kuala Lumpur,Total Sex, 0 - 4,1984,Bumiputera,55
W.P Kuala Lumpur,Total Sex, 0 - 4,1984,Chinese,58.4
W.P Kuala Lumpur,Total Sex, 0 - 4,1984,Indians,14.9
W.P Kuala Lumpur,Total Sex, 0 - 4,1984,Others,1.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1985,Total Ethnic Group,133.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1985,Bumiputera,58.3
W.P Kuala Lumpur,Total Sex, 0 - 4,1985,Chinese,59.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1985,Indians,14.5
W.P Kuala Lumpur,Total Sex, 0 - 4,1985,Others,1.3
W.P Kuala Lumpur,Total Sex, 0 - 4,1986,Total Ethnic Group,138.9
W.P Kuala Lumpur,Total Sex, 0 - 4,1986,Bumiputera,62.8
W.P Kuala Lumpur,Total Sex, 0 - 4,1986,Chinese,60.4
W.P Kuala Lumpur,Total Sex, 0 - 4,1986,Indians,14.5
W.P Kuala Lumpur,Total Sex, 0 - 4,1986,Others,1.3
W.P Kuala Lumpur,Total Sex, 0 - 4,1987,Total Ethnic Group,142.8
W.P Kuala Lumpur,Total Sex, 0 - 4,1987,Bumiputera,67
W.P Kuala Lumpur,Total Sex, 0 - 4,1987,Chinese,59.8
W.P Kuala Lumpur,Total Sex, 0 - 4,1987,Indians,14.8
W.P Kuala Lumpur,Total Sex, 0 - 4,1987,Others,1.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1988,Total Ethnic Group,145.5
W.P Kuala Lumpur,Total Sex, 0 - 4,1988,Bumiputera,70.8
W.P Kuala Lumpur,Total Sex, 0 - 4,1988,Chinese,58.5
W.P Kuala Lumpur,Total Sex, 0 - 4,1988,Indians,15.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1988,Others,1.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1989,Total Ethnic Group,148.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1989,Bumiputera,73.7
W.P Kuala Lumpur,Total Sex, 0 - 4,1989,Chinese,57.7
W.P Kuala Lumpur,Total Sex, 0 - 4,1989,Indians,15.6
W.P Kuala Lumpur,Total Sex, 0 - 4,1989,Others,1.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1990,Total Ethnic Group,149.4
W.P Kuala Lumpur,Total Sex, 0 - 4,1990,Bumiputera,76
W.P Kuala Lumpur,Total Sex, 0 - 4,1990,Chinese,56.2
W.P Kuala Lumpur,Total Sex, 0 - 4,1990,Indians,16.1
W.P Kuala Lumpur,Total Sex, 0 - 4,1990,Others,1.2
W.P Kuala Lumpur,Total Sex, 5 - 9,1980,Total Ethnic Group,104.1
W.P Kuala Lumpur,Total Sex, 5 - 9,1980,Bumiputera,35.3
W.P Kuala Lumpur,Total Sex, 5 - 9,1980,Chinese,53.4
W.P Kuala Lumpur,Total Sex, 5 - 9,1980,Indians,14.7
W.P Kuala Lumpur,Total Sex, 5 - 9,1980,Others,0.7
W.P Kuala Lumpur,Total Sex, 5 - 9,1981,Total Ethnic Group,108.2
W.P Kuala Lumpur,Total Sex, 5 - 9,1981,Bumiputera,38.2
W.P Kuala Lumpur,Total Sex, 5 - 9,1981,Chinese,54.7
W.P Kuala Lumpur,Total Sex, 5 - 9,1981,Indians,14.6
W.P Kuala Lumpur,Total Sex, 5 - 9,1981,Others,0.7
W.P Kuala Lumpur,Total Sex, 5 - 9,1982,Total Ethnic Group,111.1
W.P Kuala Lumpur,Total Sex, 5 - 9,1982,Bumiputera,40
W.P Kuala Lumpur,Total Sex, 5 - 9,1982,Chinese,55.7
W.P Kuala Lumpur,Total Sex, 5 - 9,1982,Indians,14.6
W.P Kuala Lumpur,Total Sex, 5 - 9,1982,Others,0.8
W.P Kuala Lumpur,Total Sex, 5 - 9,1983,Total Ethnic Group,112.5
W.P Kuala Lumpur,Total Sex, 5 - 9,1983,Bumiputera,41.4
W.P Kuala Lumpur,Total Sex, 5 - 9,1983,Chinese,55.8
W.P Kuala Lumpur,Total Sex, 5 - 9,1983,Indians,14.6
W.P Kuala Lumpur,Total Sex, 5 - 9,1983,Others,0.8
W.P Kuala Lumpur,Total Sex, 5 - 9,1984,Total Ethnic Group,114.5
W.P Kuala Lumpur,Total Sex, 5 - 9,1984,Bumiputera,43
W.P Kuala Lumpur,Total Sex, 5 - 9,1984,Chinese,55.8
W.P Kuala Lumpur,Total Sex, 5 - 9,1984,Indians,14.8
W.P Kuala Lumpur,Total Sex, 5 - 9,1984,Others,0.8
W.P Kuala Lumpur,Total Sex, 5 - 9,1985,Total Ethnic Group,116.3
W.P Kuala Lumpur,Total Sex, 5 - 9,1985,Bumiputera,44.3
W.P Kuala Lumpur,Total Sex, 5 - 9,1985,Chinese,56.2
W.P Kuala Lumpur,Total Sex, 5 - 9,1985,Indians,15
W.P Kuala Lumpur,Total Sex, 5 - 9,1985,Others,0.9
W.P Kuala Lumpur,Total Sex, 5 - 9,1986,Total Ethnic Group,117.1
W.P Kuala Lumpur,Total Sex, 5 - 9,1986,Bumiputera,45.9
W.P Kuala Lumpur,Total Sex, 5 - 9,1986,Chinese,55.3
W.P Kuala Lumpur,Total Sex, 5 - 9,1986,Indians,15
W.P Kuala Lumpur,Total Sex, 5 - 9,1986,Others,1
W.P Kuala Lumpur,Total Sex, 5 - 9,1987,Total Ethnic Group,118.9
W.P Kuala Lumpur,Total Sex, 5 - 9,1987,Bumiputera,48.2
W.P Kuala Lumpur,Total Sex, 5 - 9,1987,Chinese,54.9
W.P Kuala Lumpur,Total Sex, 5 - 9,1987,Indians,14.7
W.P Kuala Lumpur,Total Sex, 5 - 9,1987,Others,1
W.P Kuala Lumpur,Total Sex, 5 - 9,1988,Total Ethnic Group,122.6
W.P Kuala Lumpur,Total Sex, 5 - 9,1988,Bumiputera,51.1
W.P Kuala Lumpur,Total Sex, 5 - 9,1988,Chinese,55.9
W.P Kuala Lumpur,Total Sex, 5 - 9,1988,Indians,14.6
W.P Kuala Lumpur,Total Sex, 5 - 9,1988,Others,1.1
W.P Kuala Lumpur,Total Sex, 5 - 9,1989,Total Ethnic Group,125.4
W.P Kuala Lumpur,Total Sex, 5 - 9,1989,Bumiputera,53.5
W.P Kuala Lumpur,Total Sex, 5 - 9,1989,Chinese,56.8
W.P Kuala Lumpur,Total Sex, 5 - 9,1989,Indians,14
W.P Kuala Lumpur,Total Sex, 5 - 9,1989,Others,1.1
W.P Kuala Lumpur,Total Sex, 5 - 9,1990,Total Ethnic Group,130.1
W.P Kuala Lumpur,Total Sex, 5 - 9,1990,Bumiputera,57.2
W.P Kuala Lumpur,Total Sex, 5 - 9,1990,Chinese,58.2
W.P Kuala Lumpur,Total Sex, 5 - 9,1990,Indians,13.6
W.P Kuala Lumpur,Total Sex, 5 - 9,1990,Others,1.1
W.P Kuala Lumpur,Total Sex, 10 - 14,1980,Total Ethnic Group,92.4
W.P Kuala Lumpur,Total Sex, 10 - 14,1980,Bumiputera,26
W.P Kuala Lumpur,Total Sex, 10 - 14,1980,Chinese,50.3
W.P Kuala Lumpur,Total Sex, 10 - 14,1980,Indians,15.1
W.P Kuala Lumpur,Total Sex, 10 - 14,1980,Others,1
W.P Kuala Lumpur,Total Sex, 10 - 14,1981,Total Ethnic Group,98.4
W.P Kuala Lumpur,Total Sex, 10 - 14,1981,Bumiputera,30.2
W.P Kuala Lumpur,Total Sex, 10 - 14,1981,Chinese,52.2
W.P Kuala Lumpur,Total Sex, 10 - 14,1981,Indians,14.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1981,Others,1
W.P Kuala Lumpur,Total Sex, 10 - 14,1982,Total Ethnic Group,102.1
W.P Kuala Lumpur,Total Sex, 10 - 14,1982,Bumiputera,32.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1982,Chinese,53.5
W.P Kuala Lumpur,Total Sex, 10 - 14,1982,Indians,14.7
W.P Kuala Lumpur,Total Sex, 10 - 14,1982,Others,0.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1983,Total Ethnic Group,104.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1983,Bumiputera,35.2
W.P Kuala Lumpur,Total Sex, 10 - 14,1983,Chinese,54.4
W.P Kuala Lumpur,Total Sex, 10 - 14,1983,Indians,14.4
W.P Kuala Lumpur,Total Sex, 10 - 14,1983,Others,0.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1984,Total Ethnic Group,108.2
W.P Kuala Lumpur,Total Sex, 10 - 14,1984,Bumiputera,37.6
W.P Kuala Lumpur,Total Sex, 10 - 14,1984,Chinese,55.5
W.P Kuala Lumpur,Total Sex, 10 - 14,1984,Indians,14.3
W.P Kuala Lumpur,Total Sex, 10 - 14,1984,Others,0.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1985,Total Ethnic Group,110.2
W.P Kuala Lumpur,Total Sex, 10 - 14,1985,Bumiputera,39.5
W.P Kuala Lumpur,Total Sex, 10 - 14,1985,Chinese,55.6
W.P Kuala Lumpur,Total Sex, 10 - 14,1985,Indians,14.3
W.P Kuala Lumpur,Total Sex, 10 - 14,1985,Others,0.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1986,Total Ethnic Group,110.2
W.P Kuala Lumpur,Total Sex, 10 - 14,1986,Bumiputera,40.4
W.P Kuala Lumpur,Total Sex, 10 - 14,1986,Chinese,55
W.P Kuala Lumpur,Total Sex, 10 - 14,1986,Indians,14
W.P Kuala Lumpur,Total Sex, 10 - 14,1986,Others,0.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1987,Total Ethnic Group,110.1
W.P Kuala Lumpur,Total Sex, 10 - 14,1987,Bumiputera,40.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1987,Chinese,54.5
W.P Kuala Lumpur,Total Sex, 10 - 14,1987,Indians,13.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1987,Others,0.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1988,Total Ethnic Group,109.6
W.P Kuala Lumpur,Total Sex, 10 - 14,1988,Bumiputera,41.1
W.P Kuala Lumpur,Total Sex, 10 - 14,1988,Chinese,53.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1988,Indians,13.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1988,Others,0.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1989,Total Ethnic Group,110
W.P Kuala Lumpur,Total Sex, 10 - 14,1989,Bumiputera,42
W.P Kuala Lumpur,Total Sex, 10 - 14,1989,Chinese,53.3
W.P Kuala Lumpur,Total Sex, 10 - 14,1989,Indians,13.9
W.P Kuala Lumpur,Total Sex, 10 - 14,1989,Others,0.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1990,Total Ethnic Group,110.8
W.P Kuala Lumpur,Total Sex, 10 - 14,1990,Bumiputera,43
W.P Kuala Lumpur,Total Sex, 10 - 14,1990,Chinese,53
W.P Kuala Lumpur,Total Sex, 10 - 14,1990,Indians,14
W.P Kuala Lumpur,Total Sex, 10 - 14,1990,Others,0.8
W.P Kuala Lumpur,Total Sex, 15 - 19,1980,Total Ethnic Group,114.7
W.P Kuala Lumpur,Total Sex, 15 - 19,1980,Bumiputera,38.1
W.P Kuala Lumpur,Total Sex, 15 - 19,1980,Chinese,58.7
W.P Kuala Lumpur,Total Sex, 15 - 19,1980,Indians,17.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1980,Others,0.6
W.P Kuala Lumpur,Total Sex, 15 - 19,1981,Total Ethnic Group,112.2
W.P Kuala Lumpur,Total Sex, 15 - 19,1981,Bumiputera,36.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1981,Chinese,58
W.P Kuala Lumpur,Total Sex, 15 - 19,1981,Indians,16.8
W.P Kuala Lumpur,Total Sex, 15 - 19,1981,Others,1.1
W.P Kuala Lumpur,Total Sex, 15 - 19,1982,Total Ethnic Group,109
W.P Kuala Lumpur,Total Sex, 15 - 19,1982,Bumiputera,34.8
W.P Kuala Lumpur,Total Sex, 15 - 19,1982,Chinese,56.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1982,Indians,16.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1982,Others,1.6
W.P Kuala Lumpur,Total Sex, 15 - 19,1983,Total Ethnic Group,108.6
W.P Kuala Lumpur,Total Sex, 15 - 19,1983,Bumiputera,35
W.P Kuala Lumpur,Total Sex, 15 - 19,1983,Chinese,55.8
W.P Kuala Lumpur,Total Sex, 15 - 19,1983,Indians,15.9
W.P Kuala Lumpur,Total Sex, 15 - 19,1983,Others,1.9
W.P Kuala Lumpur,Total Sex, 15 - 19,1984,Total Ethnic Group,108.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1984,Bumiputera,35.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1984,Chinese,55.2
W.P Kuala Lumpur,Total Sex, 15 - 19,1984,Indians,15.4
W.P Kuala Lumpur,Total Sex, 15 - 19,1984,Others,2.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1985,Total Ethnic Group,109.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1985,Bumiputera,36.3
W.P Kuala Lumpur,Total Sex, 15 - 19,1985,Chinese,55.4
W.P Kuala Lumpur,Total Sex, 15 - 19,1985,Indians,15
W.P Kuala Lumpur,Total Sex, 15 - 19,1985,Others,2.5
W.P Kuala Lumpur,Total Sex, 15 - 19,1986,Total Ethnic Group,110.2
W.P Kuala Lumpur,Total Sex, 15 - 19,1986,Bumiputera,38.2
W.P Kuala Lumpur,Total Sex, 15 - 19,1986,Chinese,56.2
W.P Kuala Lumpur,Total Sex, 15 - 19,1986,Indians,14.8
W.P Kuala Lumpur,Total Sex, 15 - 19,1986,Others,1
W.P Kuala Lumpur,Total Sex, 15 - 19,1987,Total Ethnic Group,113.4
W.P Kuala Lumpur,Total Sex, 15 - 19,1987,Bumiputera,40.2
W.P Kuala Lumpur,Total Sex, 15 - 19,1987,Chinese,57.7
W.P Kuala Lumpur,Total Sex, 15 - 19,1987,Indians,14.5
W.P Kuala Lumpur,Total Sex, 15 - 19,1987,Others,0.9
W.P Kuala Lumpur,Total Sex, 15 - 19,1988,Total Ethnic Group,115.1
W.P Kuala Lumpur,Total Sex, 15 - 19,1988,Bumiputera,41.6
W.P Kuala Lumpur,Total Sex, 15 - 19,1988,Chinese,58.4
W.P Kuala Lumpur,Total Sex, 15 - 19,1988,Indians,14.2
W.P Kuala Lumpur,Total Sex, 15 - 19,1988,Others,0.9
W.P Kuala Lumpur,Total Sex, 15 - 19,1989,Total Ethnic Group,116.4
W.P Kuala Lumpur,Total Sex, 15 - 19,1989,Bumiputera,42.8
W.P Kuala Lumpur,Total Sex, 15 - 19,1989,Chinese,58.7
W.P Kuala Lumpur,Total Sex, 15 - 19,1989,Indians,14.1
W.P Kuala Lumpur,Total Sex, 15 - 19,1989,Others,0.9
W.P Kuala Lumpur,Total Sex, 15 - 19,1990,Total Ethnic Group,115.1
W.P Kuala Lumpur,Total Sex, 15 - 19,1990,Bumiputera,43.1
W.P Kuala Lumpur,Total Sex, 15 - 19,1990,Chinese,57.5
W.P Kuala Lumpur,Total Sex, 15 - 19,1990,Indians,13.8
W.P Kuala Lumpur,Total Sex, 15 - 19,1990,Others,0.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1980,Total Ethnic Group,139.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1980,Bumiputera,57.7
W.P Kuala Lumpur,Total Sex, 20 - 24,1980,Chinese,63.2
W.P Kuala Lumpur,Total Sex, 20 - 24,1980,Indians,18.1
W.P Kuala Lumpur,Total Sex, 20 - 24,1980,Others,0.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1981,Total Ethnic Group,138
W.P Kuala Lumpur,Total Sex, 20 - 24,1981,Bumiputera,56.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1981,Chinese,62.6
W.P Kuala Lumpur,Total Sex, 20 - 24,1981,Indians,17.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1981,Others,0.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1982,Total Ethnic Group,135.9
W.P Kuala Lumpur,Total Sex, 20 - 24,1982,Bumiputera,55.1
W.P Kuala Lumpur,Total Sex, 20 - 24,1982,Chinese,62.4
W.P Kuala Lumpur,Total Sex, 20 - 24,1982,Indians,17.5
W.P Kuala Lumpur,Total Sex, 20 - 24,1982,Others,0.9
W.P Kuala Lumpur,Total Sex, 20 - 24,1983,Total Ethnic Group,131.9
W.P Kuala Lumpur,Total Sex, 20 - 24,1983,Bumiputera,52.4
W.P Kuala Lumpur,Total Sex, 20 - 24,1983,Chinese,61.4
W.P Kuala Lumpur,Total Sex, 20 - 24,1983,Indians,17.2
W.P Kuala Lumpur,Total Sex, 20 - 24,1983,Others,0.9
W.P Kuala Lumpur,Total Sex, 20 - 24,1984,Total Ethnic Group,127.9
W.P Kuala Lumpur,Total Sex, 20 - 24,1984,Bumiputera,49.6
W.P Kuala Lumpur,Total Sex, 20 - 24,1984,Chinese,60.5
W.P Kuala Lumpur,Total Sex, 20 - 24,1984,Indians,16.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1984,Others,1
W.P Kuala Lumpur,Total Sex, 20 - 24,1985,Total Ethnic Group,123.5
W.P Kuala Lumpur,Total Sex, 20 - 24,1985,Bumiputera,46.6
W.P Kuala Lumpur,Total Sex, 20 - 24,1985,Chinese,59.5
W.P Kuala Lumpur,Total Sex, 20 - 24,1985,Indians,16.4
W.P Kuala Lumpur,Total Sex, 20 - 24,1985,Others,1
W.P Kuala Lumpur,Total Sex, 20 - 24,1986,Total Ethnic Group,122.1
W.P Kuala Lumpur,Total Sex, 20 - 24,1986,Bumiputera,44.7
W.P Kuala Lumpur,Total Sex, 20 - 24,1986,Chinese,58.7
W.P Kuala Lumpur,Total Sex, 20 - 24,1986,Indians,16.1
W.P Kuala Lumpur,Total Sex, 20 - 24,1986,Others,2.6
W.P Kuala Lumpur,Total Sex, 20 - 24,1987,Total Ethnic Group,120.5
W.P Kuala Lumpur,Total Sex, 20 - 24,1987,Bumiputera,43.9
W.P Kuala Lumpur,Total Sex, 20 - 24,1987,Chinese,58.1
W.P Kuala Lumpur,Total Sex, 20 - 24,1987,Indians,15.8
W.P Kuala Lumpur,Total Sex, 20 - 24,1987,Others,2.9
W.P Kuala Lumpur,Total Sex, 20 - 24,1988,Total Ethnic Group,121
W.P Kuala Lumpur,Total Sex, 20 - 24,1988,Bumiputera,44.3
W.P Kuala Lumpur,Total Sex, 20 - 24,1988,Chinese,58.2
W.P Kuala Lumpur,Total Sex, 20 - 24,1988,Indians,15.4
W.P Kuala Lumpur,Total Sex, 20 - 24,1988,Others,3.1
W.P Kuala Lumpur,Total Sex, 20 - 24,1989,Total Ethnic Group,121.2
W.P Kuala Lumpur,Total Sex, 20 - 24,1989,Bumiputera,44.6
W.P Kuala Lumpur,Total Sex, 20 - 24,1989,Chinese,58.2
W.P Kuala Lumpur,Total Sex, 20 - 24,1989,Indians,15
W.P Kuala Lumpur,Total Sex, 20 - 24,1989,Others,3.3
W.P Kuala Lumpur,Total Sex, 20 - 24,1990,Total Ethnic Group,122.4
W.P Kuala Lumpur,Total Sex, 20 - 24,1990,Bumiputera,45.2
W.P Kuala Lumpur,Total Sex, 20 - 24,1990,Chinese,59
W.P Kuala Lumpur,Total Sex, 20 - 24,1990,Indians,14.7
W.P Kuala Lumpur,Total Sex, 20 - 24,1990,Others,3.4
W.P Kuala Lumpur,Total Sex, 25 - 29,1980,Total Ethnic Group,108.1
W.P Kuala Lumpur,Total Sex, 25 - 29,1980,Bumiputera,42
W.P Kuala Lumpur,Total Sex, 25 - 29,1980,Chinese,51.7
W.P Kuala Lumpur,Total Sex, 25 - 29,1980,Indians,13.6
W.P Kuala Lumpur,Total Sex, 25 - 29,1980,Others,0.8
W.P Kuala Lumpur,Total Sex, 25 - 29,1981,Total Ethnic Group,113.1
W.P Kuala Lumpur,Total Sex, 25 - 29,1981,Bumiputera,45.5
W.P Kuala Lumpur,Total Sex, 25 - 29,1981,Chinese,52.5
W.P Kuala Lumpur,Total Sex, 25 - 29,1981,Indians,14.2
W.P Kuala Lumpur,Total Sex, 25 - 29,1981,Others,0.9
W.P Kuala Lumpur,Total Sex, 25 - 29,1982,Total Ethnic Group,118.7
W.P Kuala Lumpur,Total Sex, 25 - 29,1982,Bumiputera,49.1
W.P Kuala Lumpur,Total Sex, 25 - 29,1982,Chinese,53.9
W.P Kuala Lumpur,Total Sex, 25 - 29,1982,Indians,14.8
W.P Kuala Lumpur,Total Sex, 25 - 29,1982,Others,0.9
W.P Kuala Lumpur,Total Sex, 25 - 29,1983,Total Ethnic Group,123.5
W.P Kuala Lumpur,Total Sex, 25 - 29,1983,Bumiputera,52.2
W.P Kuala Lumpur,Total Sex, 25 - 29,1983,Chinese,55.2
W.P Kuala Lumpur,Total Sex, 25 - 29,1983,Indians,15.1
W.P Kuala Lumpur,Total Sex, 25 - 29,1983,Others,1
W.P Kuala Lumpur,Total Sex, 25 - 29,1984,Total Ethnic Group,127
W.P Kuala Lumpur,Total Sex, 25 - 29,1984,Bumiputera,54.5
W.P Kuala Lumpur,Total Sex, 25 - 29,1984,Chinese,56
W.P Kuala Lumpur,Total Sex, 25 - 29,1984,Indians,15.5
W.P Kuala Lumpur,Total Sex, 25 - 29,1984,Others,1.1
W.P Kuala Lumpur,Total Sex, 25 - 29,1985,Total Ethnic Group,130.1
W.P Kuala Lumpur,Total Sex, 25 - 29,1985,Bumiputera,56.5
W.P Kuala Lumpur,Total Sex, 25 - 29,1985,Chinese,56.7
W.P Kuala Lumpur,Total Sex, 25 - 29,1985,Indians,15.7
W.P Kuala Lumpur,Total Sex, 25 - 29,1985,Others,1.2
W.P Kuala Lumpur,Total Sex, 25 - 29,1986,Total Ethnic Group,131.2
