Year,State,Contingent PDRM District,Type of Crime,Number of Crime
2015,Sabah,Kota Marudu,Rape,13
2015,Sabah,Kota Marudu,Robbery,4
2015,Sabah,Kudat,Causing injury,2
2015,Sabah,Kudat,Murder,0
2015,Sabah,Kudat,Rape,3
2015,Sabah,Kudat,Robbery,0
2015,Sabah,Kunak,Causing injury,5
2015,Sabah,Kunak,Murder,0
2015,Sabah,Kunak,Rape,3
2015,Sabah,Kunak,Robbery,5
2015,Sabah,Lahad Datu,Causing injury,17
2015,Sabah,Lahad Datu,Murder,7
2015,Sabah,Lahad Datu,Rape,11
2015,Sabah,Lahad Datu,Robbery,23
2015,Sabah,Papar,Causing injury,19
2015,Sabah,Papar,Murder,1
2015,Sabah,Papar,Rape,4
2015,Sabah,Papar,Robbery,2
2015,Sabah,Penampang,Causing injury,19
2015,Sabah,Penampang,Murder,1
2015,Sabah,Penampang,Rape,14
2015,Sabah,Penampang,Robbery,16
2015,Sabah,Ranau,Causing injury,4
2015,Sabah,Ranau,Murder,0
2015,Sabah,Ranau,Rape,5
2015,Sabah,Ranau,Robbery,4
2015,Sabah,Sandakan,Causing injury,12
2015,Sabah,Sandakan,Murder,4
2015,Sabah,Sandakan,Rape,10
2015,Sabah,Sandakan,Robbery,30
2015,Sabah,Semporna,Causing injury,21
2015,Sabah,Semporna,Murder,2
2015,Sabah,Semporna,Rape,13
2015,Sabah,Semporna,Robbery,4
2015,Sabah,Sipitang,Causing injury,6
2015,Sabah,Sipitang,Murder,0
2015,Sabah,Sipitang,Rape,3
2015,Sabah,Sipitang,Robbery,3
2015,Sabah,Tawau,Causing injury,44
2015,Sabah,Tawau,Murder,2
2015,Sabah,Tawau,Rape,7
2015,Sabah,Tawau,Robbery,62
2015,Sabah,Tenom,Causing injury,5
2015,Sabah,Tenom,Murder,0
2015,Sabah,Tenom,Rape,4
2015,Sabah,Tenom,Robbery,0
2015,Sabah,Tuaran,Causing injury,8
2015,Sabah,Tuaran,Murder,2
2015,Sabah,Tuaran,Rape,12
2015,Sabah,Tuaran,Robbery,0
2015,Sarawak,Bau,Causing injury,4
2015,Sarawak,Bau,Murder,0
2015,Sarawak,Bau,Rape,4
2015,Sarawak,Bau,Robbery,1
2015,Sarawak,Belaga,Causing injury,8
2015,Sarawak,Belaga,Murder,0
2015,Sarawak,Belaga,Rape,1
2015,Sarawak,Belaga,Robbery,0
2015,Sarawak,Betong,Causing injury,5
2015,Sarawak,Betong,Murder,0
2015,Sarawak,Betong,Rape,0
2015,Sarawak,Betong,Robbery,2
2015,Sarawak,Bintulu,Causing injury,42
2015,Sarawak,Bintulu,Murder,7
2015,Sarawak,Bintulu,Rape,6
2015,Sarawak,Bintulu,Robbery,20
2015,Sarawak,Dalat,Causing injury,2
2015,Sarawak,Dalat,Murder,0
2015,Sarawak,Dalat,Rape,2
2015,Sarawak,Dalat,Robbery,0
2015,Sarawak,Julau,Causing injury,4
2015,Sarawak,Julau,Murder,0
2015,Sarawak,Julau,Rape,1
2015,Sarawak,Julau,Robbery,0
2015,Sarawak,Kanowit,Causing injury,2
2015,Sarawak,Kanowit,Murder,0
2015,Sarawak,Kanowit,Rape,1
2015,Sarawak,Kanowit,Robbery,0
2015,Sarawak,Kapit,Causing injury,9
2015,Sarawak,Kapit,Murder,0
2015,Sarawak,Kapit,Rape,1
2015,Sarawak,Kapit,Robbery,0
2015,Sarawak,Kota Samarahan,Causing injury,8
2015,Sarawak,Kota Samarahan,Murder,2
2015,Sarawak,Kota Samarahan,Rape,11
2015,Sarawak,Kota Samarahan,Robbery,25
2015,Sarawak,Kuching,Causing injury,78
2015,Sarawak,Kuching,Murder,2
2015,Sarawak,Kuching,Rape,17
2015,Sarawak,Kuching,Robbery,106
2015,Sarawak,Lawas,Causing injury,6
2015,Sarawak,Lawas,Murder,1
2015,Sarawak,Lawas,Rape,1
2015,Sarawak,Lawas,Robbery,0
2015,Sarawak,Limbang,Causing injury,9
2015,Sarawak,Limbang,Murder,0
2015,Sarawak,Limbang,Rape,5
2015,Sarawak,Limbang,Robbery,1
2015,Sarawak,Lubok Antu,Causing injury,3
2015,Sarawak,Lubok Antu,Murder,0
2015,Sarawak,Lubok Antu,Rape,1
2015,Sarawak,Lubok Antu,Robbery,1
2015,Sarawak,Lundu,Causing injury,3
2015,Sarawak,Lundu,Murder,1
2015,Sarawak,Lundu,Rape,4
2015,Sarawak,Lundu,Robbery,3
2015,Sarawak,Marudi,Causing injury,6
2015,Sarawak,Marudi,Murder,2
2015,Sarawak,Marudi,Rape,8
2015,Sarawak,Marudi,Robbery,0
2015,Sarawak,Matu Daro,Causing injury,5
2015,Sarawak,Matu Daro,Murder,1
2015,Sarawak,Matu Daro,Rape,1
2015,Sarawak,Matu Daro,Robbery,1
2015,Sarawak,Meradong,Causing injury,3
2015,Sarawak,Meradong,Murder,0
2015,Sarawak,Meradong,Rape,0
2015,Sarawak,Meradong,Robbery,6
2015,Sarawak,Miri,Causing injury,48
2015,Sarawak,Miri,Murder,9
2015,Sarawak,Miri,Rape,26
2015,Sarawak,Miri,Robbery,73
2015,Sarawak,Mukah,Causing injury,4
2015,Sarawak,Mukah,Murder,3
2015,Sarawak,Mukah,Rape,1
2015,Sarawak,Mukah,Robbery,5
2015,Sarawak,Padawan,Causing injury,28
2015,Sarawak,Padawan,Murder,2
2015,Sarawak,Padawan,Rape,19
2015,Sarawak,Padawan,Robbery,27
2015,Sarawak,Saratok,Causing injury,2
2015,Sarawak,Saratok,Murder,0
2015,Sarawak,Saratok,Rape,0
2015,Sarawak,Saratok,Robbery,0
2015,Sarawak,Sarikei,Causing injury,12
2015,Sarawak,Sarikei,Murder,0
2015,Sarawak,Sarikei,Rape,10
2015,Sarawak,Sarikei,Robbery,6
2015,Sarawak,Serian,Causing injury,3
2015,Sarawak,Serian,Murder,2
2015,Sarawak,Serian,Rape,10
2015,Sarawak,Serian,Robbery,10
2015,Sarawak,Sibu,Causing injury,57
2015,Sarawak,Sibu,Murder,5
2015,Sarawak,Sibu,Rape,10
2015,Sarawak,Sibu,Robbery,15
2015,Sarawak,Simunjan,Causing injury,3
2015,Sarawak,Simunjan,Murder,0
2015,Sarawak,Simunjan,Rape,2
2015,Sarawak,Simunjan,Robbery,2
2015,Sarawak,Song,Causing injury,1
2015,Sarawak,Song,Murder,0
2015,Sarawak,Song,Rape,1
2015,Sarawak,Song,Robbery,0
2015,Sarawak,Sri Aman,Causing injury,6
2015,Sarawak,Sri Aman,Murder,0
2015,Sarawak,Sri Aman,Rape,2
2015,Sarawak,Sri Aman,Robbery,2
2015,Sarawak,Tatau,Causing injury,1
2015,Sarawak,Tatau,Murder,0
2015,Sarawak,Tatau,Rape,3
2015,Sarawak,Tatau,Robbery,0
2015,Selangor,Ampang Jaya,Causing injury,93
2015,Selangor,Ampang Jaya,Murder,6
2015,Selangor,Ampang Jaya,Rape,31
2015,Selangor,Ampang Jaya,Robbery,419
2015,Selangor,Gombak,Causing injury,138
2015,Selangor,Gombak,Murder,11
2015,Selangor,Gombak,Rape,31
2015,Selangor,Gombak,Robbery,580
2015,Selangor,Hulu Selangor,Causing injury,25
2015,Selangor,Hulu Selangor,Murder,4
2015,Selangor,Hulu Selangor,Rape,14
2015,Selangor,Hulu Selangor,Robbery,57
2015,Selangor,Kajang,Causing injury,141
2015,Selangor,Kajang,Murder,16
2015,Selangor,Kajang,Rape,36
2015,Selangor,Kajang,Robbery,604
2015,Selangor,Klang Selatan,Causing injury,129
2015,Selangor,Klang Selatan,Murder,14
2015,Selangor,Klang Selatan,Rape,22
2015,Selangor,Klang Selatan,Robbery,486
2015,Selangor,Klang Utara,Causing injury,96
2015,Selangor,Klang Utara,Murder,16
2015,Selangor,Klang Utara,Rape,28
2015,Selangor,Klang Utara,Robbery,377
2015,Selangor,Kuala Langat,Causing injury,64
2015,Selangor,Kuala Langat,Murder,11
2015,Selangor,Kuala Langat,Rape,14
2015,Selangor,Kuala Langat,Robbery,53
2015,Selangor,Kuala Selangor,Causing injury,35
2015,Selangor,Kuala Selangor,Murder,5
2015,Selangor,Kuala Selangor,Rape,9
2015,Selangor,Kuala Selangor,Robbery,69
2015,Selangor,Petaling Jaya,Causing injury,190
2015,Selangor,Petaling Jaya,Murder,8
2015,Selangor,Petaling Jaya,Rape,22
2015,Selangor,Petaling Jaya,Robbery,971
2015,Selangor,Sabak Bernam,Causing injury,24
2015,Selangor,Sabak Bernam,Murder,2
2015,Selangor,Sabak Bernam,Rape,12
2015,Selangor,Sabak Bernam,Robbery,16
2015,Selangor,Sepang,Causing injury,74
2015,Selangor,Sepang,Murder,12
2015,Selangor,Sepang,Rape,14
2015,Selangor,Sepang,Robbery,160
2015,Selangor,Serdang,Causing injury,65
2015,Selangor,Serdang,Murder,7
2015,Selangor,Serdang,Rape,8
2015,Selangor,Serdang,Robbery,346
2015,Selangor,Sg. Buloh,Causing injury,49
2015,Selangor,Sg. Buloh,Murder,4
2015,Selangor,Sg. Buloh,Rape,16
2015,Selangor,Sg. Buloh,Robbery,205
2015,Selangor,Shah Alam,Causing injury,49
2015,Selangor,Shah Alam,Murder,12
2015,Selangor,Shah Alam,Rape,20
2015,Selangor,Shah Alam,Robbery,255
2015,Selangor,Subang Jaya,Causing injury,45
2015,Selangor,Subang Jaya,Murder,9
2015,Selangor,Subang Jaya,Rape,32
2015,Selangor,Subang Jaya,Robbery,322
2015,Terengganu,Besut,Causing injury,20
2015,Terengganu,Besut,Murder,0
2015,Terengganu,Besut,Rape,23
2015,Terengganu,Besut,Robbery,15
2015,Terengganu,Dungun,Causing injury,16
2015,Terengganu,Dungun,Murder,2
2015,Terengganu,Dungun,Rape,13
2015,Terengganu,Dungun,Robbery,41
2015,Terengganu,Hulu Terengganu,Causing injury,5
2015,Terengganu,Hulu Terengganu,Murder,1
2015,Terengganu,Hulu Terengganu,Rape,6
2015,Terengganu,Hulu Terengganu,Robbery,0
2015,Terengganu,Kemaman,Causing injury,35
2015,Terengganu,Kemaman,Murder,1
2015,Terengganu,Kemaman,Rape,16
2015,Terengganu,Kemaman,Robbery,5
2015,Terengganu,Kuala Terengganu,Causing injury,33
2015,Terengganu,Kuala Terengganu,Murder,3
2015,Terengganu,Kuala Terengganu,Rape,28
2015,Terengganu,Kuala Terengganu,Robbery,50
2015,Terengganu,Marang,Causing injury,18
2015,Terengganu,Marang,Murder,1
2015,Terengganu,Marang,Rape,14
2015,Terengganu,Marang,Robbery,12
2015,Terengganu,Setiu,Causing injury,7
2015,Terengganu,Setiu,Murder,0
2015,Terengganu,Setiu,Rape,10
2015,Terengganu,Setiu,Robbery,2
2015,W.P. Kuala Lumpur,Brickfields,Causing injury,108
2015,W.P. Kuala Lumpur,Brickfields,Murder,2
2015,W.P. Kuala Lumpur,Brickfields,Rape,16
2015,W.P. Kuala Lumpur,Brickfields,Robbery,471
2015,W.P. Kuala Lumpur,Cheras,Causing injury,85
2015,W.P. Kuala Lumpur,Cheras,Murder,8
2015,W.P. Kuala Lumpur,Cheras,Rape,33
2015,W.P. Kuala Lumpur,Cheras,Robbery,438
2015,W.P. Kuala Lumpur,Dang Wangi,Causing injury,189
2015,W.P. Kuala Lumpur,Dang Wangi,Murder,9
2015,W.P. Kuala Lumpur,Dang Wangi,Rape,22
2015,W.P. Kuala Lumpur,Dang Wangi,Robbery,781
2015,W.P. Kuala Lumpur,Sentul,Causing injury,244
2015,W.P. Kuala Lumpur,Sentul,Murder,11
2015,W.P. Kuala Lumpur,Sentul,Rape,24
2015,W.P. Kuala Lumpur,Sentul,Robbery,613
2015,W.P. Kuala Lumpur,Wangsa Maju,Causing injury,90
2015,W.P. Kuala Lumpur,Wangsa Maju,Murder,5
2015,W.P. Kuala Lumpur,Wangsa Maju,Rape,24
2015,W.P. Kuala Lumpur,Wangsa Maju,Robbery,473
2015,W.P. Labuan,W.P. Labuan,Causing injury,10
2015,W.P. Labuan,W.P. Labuan,Murder,0
2015,W.P. Labuan,W.P. Labuan,Rape,10
2015,W.P. Labuan,W.P. Labuan,Robbery,2
2015,W.P. Putrajaya,W.P. Putrajaya,Causing injury,9
2015,W.P. Putrajaya,W.P. Putrajaya,Murder,0
2015,W.P. Putrajaya,W.P. Putrajaya,Rape,4
2015,W.P. Putrajaya,W.P. Putrajaya,Robbery,13
2016,Johor,Batu Pahat,Causing injury,39
2016,Johor,Batu Pahat,Murder,6
2016,Johor,Batu Pahat,Rape,29
2016,Johor,Batu Pahat,Robbery,86
2016,Johor,Iskandar Puteri,Causing injury,0
2016,Johor,Iskandar Puteri,Murder,0
2016,Johor,Iskandar Puteri,Rape,0
